,Investors,Number of Investments
940, Verissimo Ventures,1
941, Paradigm,1
942, Bjarke Ingels Group,1
943, Oriental Fortune Capital,1
944, Unicom Innovation Venture Capital,2
945, Nordstar,1
946, Xingwang Investment Management,1
947, Buhuo Venture Capital,1
948, Midea Capital,1
949, Kaszek Ventures,1
950, F2 Ventures,1
951, Vostok New Ventures,1
952, Yinxinggu Capital,1
953, JOY Capital,1
954, 14W,1
955, Inclusive Capital Partners,1
956, Blu Venture Investors,1
957, F-Prime Capital,2
958, 500 Startups,1
959, Korelya Capital,1
960, Silversmith Capital Partners,2
961, Rembrandt Venture Partners,1
962, Blackbird Ventures,1
963, Galaxy Interactive,1
964, Bow Wave Capital,1
965, CRE Venture Capital,1
966, Connect Ventures,1
967, GoldenTree Asset Management,1
968, Kalaari Capital,1
969, SoftBank Latin America Fund,1
970, Workday Ventures,1
971, SV Angel,1
972, BP Ventures,1
973, First Light Capital Group,1
974, 	Human Capital,1
975, Fontinalis Partners,1
976, Madrona Venture Group,1
977, Sierra Ventures,1
978, M13,1
979, Susa Ventures,1
980, Lightrock,1
981, Maersk Growth,1
982, Marshland Capital,1
983, Longzhu Capital,1
984, Camber Creek,1
985, China Creation Ventures,1
986, Sino-Ocean Capital,1
987, 	Northzone Ventures,1
988, Drive Capital,1
989, FJ Labs,2
990, TriplePoint Capital,2
991, Doha Venture Capital,1
992, Google,1
993, Rakuten,1
994, STO Express,1
995, Forerunner Ventures,1
996, Blumberg Capital,2
997, 	T. Rowe Price,1
998, BOND,1
999, BGF Ventures,1
1000, Sigma Prime Ventures,1
1001, Fifty Years Fund,1
1002, Holtzbrinck Ventures,1
1003, Anthem Venture Partners,1
1004, Tenaya Capital,1
1005, DAG Ventures,1
1006, BBVA,1
1007, Meridian Capital,1
1008, Matrix Partners China,2
1009, Broom Ventures,1
1010, Shenzhen Capital Group,2
1011, GIC,2
1012, Tiantu Capital Co.,1
1013, Bolt Ventures,1
1014, Koch Disruptive Technologies,1
1015, SoGal Ventures,1
1016, Capital Today,1
1017, JD Digits,1
1018, Spotify,1
1019, International Finance Corporation,2
1020, Anthermis,1
1021, Wipro Ventures,1
1022, Summer Capital,1
1023, Kraken Ventures,1
1024, 	Lightspeed Venture Partners,1
1025, MassMutual Ventures,1
1026, Chuanrong Capital,1
1027, Kefa Capital,1
1028, GF Xinde Investment Management Co.,1
1029, Primitive Forest Holdings Group,1
1030, Outrun Ventures,1
1031, Thrive Capital,3
1032, Alumni Ventures Group,2
1033, 3L,1
1034, Legend Capital,1
1035, The Carlyle Group,2
1036, Riverwood Capital,1
1037, Highland Capital Partners,1
1038, Presidio Ventures,1
1039, Advancit Capital,1
1040, Bezos Expeditions,1
1041, Group GSR Ventures,1
1042, Invus Group,1
1043, AME Cloud Ventures,1
1044, Investment Corporation of Dubai,1
1045, Quadrille Capital,1
1046, Carrick Capital Partners,1
1047, Perpetual Investors,1
1048, Meritech Capital Partners,1
1049, Sunley House Capital Management,1
1050, Operator Collective,1
1051, Epiq Capital,1
1052, Sequoia Capital Israel,1
1053, INGKA Investments,1
1054, Blackstone,1
1055, FTX Venture,1
1056, Flourish Ventures,1
1057, Verizon Ventures,1
1058, K2VC,2
1059, Far East Horizon,1
1060, 3x5 Special Opportunity Partners,1
1061, Thoma Bravo,2
1062, Insights Partners,1
1063, CMFG Ventures,1
1064, Jinhui Xingye,1
1065, Sinar Mas Indonesia,1
1066, Munich Re Ventures,1
1067, Valo Ventures,1
1068, Industry Ventures,2
1069, Alibaba Group,4
1070, Newsion Venture Capital,1
1071, Sunstone Capital,1
1072, KKR,1
1073, Highland Europe,1
1074, Target Global,1
